sheet,excel_row,source_id,no,season,making,type,project,picture,size_range,qty,material,colour,remarks,season_normalized,making_normalized,type_normalized,project_normalized
SUMMER HEEL,25,SUMMER HEEL::25,23,SUMMER,CONVYER,LADIES,BRIGHT,.,37/M,.,HEEL,.,,SUMMER,CONVEYOR,LADIES,BRIGHT
SUMMER HEEL,26,SUMMER HEEL::26,24,WINTER / SUMMER,CONVYER,LADIES,KIZA,.,37/M,.,HEEL,.,,WINTER / SUMMER,CONVEYOR,LADIES,KIZA
SUMMER HEEL,27,SUMMER HEEL::27,25,SUMMER,CONVYER,LADIES,Apple,.,37/M,.,Heel,.,,SUMMER,CONVEYOR,LADIES,APPLE
SUMMER HEEL,28,SUMMER HEEL::28,26,SUMMER,CONVYER,LADIES,XY-521,.,37/M,.,HEEL/PlatForm,.,,SUMMER,CONVEYOR,LADIES,XY-521
SUMMER HEEL,29,SUMMER HEEL::29,27,SUMMER,CONVYER,LADIES,Lia-Wedge,.,37/M,.,Wedge Sole,.,,SUMMER,CONVEYOR,LADIES,LIA-WEDGE
SUMMER HEEL,30,SUMMER HEEL::30,28,WINTER / SUMMER,CONVYER,LADIES,ROZY,.,37/M,.,HEEL,.,,WINTER / SUMMER,CONVEYOR,LADIES,ROZY
SUMMER HEEL,31,SUMMER HEEL::31,29,SUMMER,CONVYER,LADIES,SHANGRILLA,.,37/M,.,HEEL,.,,SUMMER,CONVEYOR,LADIES,SHANGRILLA
SUMMER HEEL,32,SUMMER HEEL::32,30,WINTER,CONVYER,LADIES,BLUE,.,37/M,.,HEEL,.,,WINTER,CONVEYOR,LADIES,BLUE
SUMMER HEEL,33,SUMMER HEEL::33,31,SUMMER,CONVYER,LADIES,1263,.,37/M,.,HEEL,.,,SUMMER,CONVEYOR,LADIES,1263
SUMMER HEEL,34,SUMMER HEEL::34,32,SUMMER,CONVYER,LADIES,888-8,.,37/M,.,HEEL,.,,SUMMER,CONVEYOR,LADIES,888-8
SUMMER HEEL,35,SUMMER HEEL::35,33,SUMMER,CONVYER,LADIES,6989,.,37/M,.,HEEL,.,,SUMMER,CONVEYOR,LADIES,6989
SUMMER HEEL,36,SUMMER HEEL::36,34,SUMMER,CONVYER,LADIES,7303,.,37/M,.,HEEL,.,,SUMMER,CONVEYOR,LADIES,7303
SUMMER HEEL,37,SUMMER HEEL::37,35,SUMMER,CONVYER,LADIES,22043,.,37/M,.,HEEL,.,,SUMMER,CONVEYOR,LADIES,22043
SUMMER HEEL,38,SUMMER HEEL::38,36,SUMMER,CONVYER,LADIES,TALLY,.,37/M,.,Wedge,.,,SUMMER,CONVEYOR,LADIES,TALLY
SUMMER FLAT,3,SUMMER FLAT::3,1,SUMMER,CONVYER,LADIES,GLIP,Picture,"28-35
36-44",17,TPR,Beige and Black,,SUMMER,CONVEYOR,LADIES,GLIP
SUMMER FLAT,4,SUMMER FLAT::4,2,SUMMER,CONVYER,LADIES,BAYLA,Picture,36-41,6,TPR,Beige and Black,,SUMMER,CONVEYOR,LADIES,BAYLA
SUMMER FLAT,5,SUMMER FLAT::5,3,SUMMER,CONVYER,LADIES,RENERA,Picture,36-41,6,TPR,Beige and Black,,SUMMER,CONVEYOR,LADIES,RENERA
SUMMER FLAT,6,SUMMER FLAT::6,4,SUMMER,CONVYER,LADIES,VOILET,Picture,36-42,7,TPR,Black,,SUMMER,CONVEYOR,LADIES,VOILET
SUMMER FLAT,7,SUMMER FLAT::7,5,SUMMER,CONVYER,LADIES,LEAVI,Picture,6,Proto,TPR,Black,,SUMMER,CONVEYOR,LADIES,LEAVI
SUMMER FLAT,8,SUMMER FLAT::8,6,SUMMER,CONVYER,LADIES,GL006,Picture,6,Proto,TPR,Black,,SUMMER,CONVEYOR,LADIES,GL006
